ArraySize,SortTime(ms)
1000,0.1408
2000,0.2436
3000,0.3966
4000,0.5495
5000,0.6928
6000,0.8417
7000,0.9923
8000,1.1475
9000,1.5302
10000,1.5666
11000,2.0307
12000,1.7527
13000,2.1987
14000,2.4511
15000,2.4740
16000,2.9408
17000,3.1367
18000,2.9545
19000,3.2222
20000,3.5246
21000,3.9756
22000,3.7125
23000,3.8482
24000,3.6519
25000,4.3647
26000,4.3924
27000,6.5425
28000,4.3549
29000,5.0613
30000,5.5306
31000,5.0595
32000,5.6589
33000,5.6398
34000,6.3125
35000,5.8071
36000,5.9435
37000,6.4589
38000,6.7137
39000,6.1375
40000,6.3174
41000,7.0573
42000,7.1669
43000,7.2866
44000,7.3535
45000,7.8623
46000,7.5143
47000,7.5124
48000,8.0279
49000,8.2916
50000,8.3292
