# Size	Time (ms)
1000	0.153
2000	0.333
3000	0.526
4000	0.725
5000	0.928
6000	1.137
7000	1.459
8000	1.595
9000	1.866
10000	2.245
11000	2.236
12000	2.467
13000	2.664
14000	2.947
15000	3.13
16000	3.354
17000	3.56
18000	3.816
19000	4.41
20000	4.279
21000	4.502
22000	4.787
23000	4.988
24000	5.197
25000	5.686
26000	5.66
27000	6.029
28000	6.31
29000	6.439
30000	6.828
31000	6.908
32000	7.084
33000	8.2
34000	7.875
35000	7.842
36000	8.605
37000	8.31
38000	8.577
39000	8.836
40000	9.061
41000	10.189
42000	9.528
43000	10.096
44000	10.086
45000	10.253
46000	10.693
47000	11.283
48000	11.938
49000	11.65
50000	12.162
