# Size	Time (ms)
1000	1.13
2000	4.348
3000	10.453
4000	17.864
5000	27.8
6000	40.325
7000	54.769
8000	71.247
9000	90.985
10000	111.449
11000	135.297
12000	161.518
13000	188.685
14000	223.135
15000	259.271
16000	287.16
17000	323.066
18000	358.161
19000	400.129
20000	441.007
21000	486.158
22000	533.934
23000	585.125
24000	635.756
25000	688.227
26000	746.132
27000	805.498
28000	866.817
29000	931.053
30000	997.51
31000	1064
32000	1131.11
33000	1205.23
34000	1276.99
35000	1354.38
36000	1433.48
37000	1511.4
38000	1596.14
39000	1679.26
40000	1764.92
41000	1852.3
42000	1943.54
43000	2035.47
44000	2134.66
45000	2233.99
46000	2338.62
47000	2436.46
48000	2545.64
49000	2653.97
50000	2761.82
