ArraySize,SortTime(ms)
1000,0.1169
2000,0.2225
3000,0.3659
4000,0.5260
5000,0.7075
6000,0.8358
7000,0.9696
8000,1.1784
9000,1.5719
10000,1.8345
11000,2.0326
12000,2.2799
13000,2.5295
14000,2.1283
15000,2.9396
16000,3.0347
17000,2.7190
18000,3.1474
19000,3.1181
20000,3.2595
21000,4.2689
22000,4.1192
23000,4.5749
24000,4.5543
25000,5.1401
26000,4.5290
27000,4.8076
28000,5.7066
29000,5.5230
30000,5.9199
31000,5.9450
32000,6.8066
33000,6.4011
34000,7.6191
35000,6.8244
36000,6.9482
37000,7.2094
38000,7.2492
39000,7.4790
40000,7.5702
41000,9.6160
42000,8.3874
43000,8.3927
44000,8.2560
45000,9.7731
46000,8.6421
47000,9.6100
48000,10.9204
49000,9.4769
50000,10.3785
