# Size	Time (ms)
1000	0.218
2000	0.414
3000	0.601
4000	0.927
5000	1.107
6000	1.342
7000	1.599
8000	1.849
9000	2.112
10000	2.412
11000	2.656
12000	3.012
13000	3.272
14000	3.517
15000	3.75
16000	4.074
17000	4.383
18000	4.743
19000	4.881
20000	5.271
21000	5.433
22000	5.766
23000	6.04
24000	6.469
25000	6.703
26000	7.099
27000	7.221
28000	7.507
29000	7.806
30000	8.116
31000	8.42
32000	8.711
33000	9.009
34000	9.306
35000	9.636
36000	9.953
37000	10.18
38000	10.249
39000	10.642
40000	10.894
41000	11.16
42000	11.594
43000	11.82
44000	12.197
45000	12.399
46000	12.709
47000	13.166
48000	13.301
49000	13.646
50000	13.882
