# Size	Time (ms)
1000	1.14
2000	4.481
3000	10.359
4000	18.832
5000	28.487
6000	40.396
7000	54.974
8000	71.933
9000	88.982
10000	109.927
11000	133.044
12000	163.303
13000	189.181
14000	224.43
15000	254.117
16000	290.086
17000	356.89
18000	364.565
19000	406.632
20000	453.112
21000	493.665
22000	542.407
23000	593.508
24000	644.795
25000	701.206
26000	758.119
27000	802.201
28000	858.536
29000	920.574
30000	984.589
31000	1053.09
32000	1120.51
33000	1193.17
34000	1268.82
35000	1341.5
36000	1419.75
37000	1500.54
38000	1581.2
39000	1667.49
40000	1752.27
41000	1840.56
42000	1931.43
43000	2025.86
44000	2119.45
45000	2217.01
46000	2319.15
47000	2418.7
48000	2523.31
49000	2634.99
50000	2737.13
