# Size	Time (ms)
1000	0.255
2000	0.349
3000	0.604
4000	0.764
5000	1.037
6000	1.244
7000	1.401
8000	1.617
9000	1.84
10000	2.061
11000	2.286
12000	2.554
13000	3.215
14000	3.548
15000	3.395
16000	3.438
17000	4.298
18000	3.934
19000	4.283
20000	5.406
21000	4.758
22000	5.073
23000	5.514
24000	5.341
25000	5.732
26000	6.282
27000	6.73
28000	6.273
29000	6.936
30000	7.103
31000	7.56
32000	7.427
33000	7.704
34000	8.016
35000	8.843
36000	8.718
37000	8.713
38000	8.954
39000	9.359
40000	9.48
41000	9.78
42000	10.021
43000	11.06
44000	10.523
45000	11.014
46000	11.462
47000	11.732
48000	12.281
49000	11.847
50000	12.377
