# Size	Time (ms)
1000	1.12
2000	4.488
3000	10.196
4000	18.153
5000	27.944
6000	40.145
7000	54.647
8000	71.273
9000	89.548
10000	110.994
11000	133.05
12000	162.629
13000	188.545
14000	222.679
15000	258.275
16000	287.111
17000	324.19
18000	358.589
19000	400.353
20000	443.754
21000	488.514
22000	536.583
23000	586.179
24000	641.064
25000	695.426
26000	748.786
27000	809.301
28000	870.894
29000	932.152
30000	994.176
31000	1062.79
32000	1134.03
33000	1207.32
34000	1281.21
35000	1356.84
36000	1480.52
37000	1537.04
38000	1609.5
39000	1689.77
40000	1792
41000	1897.25
42000	1959.59
43000	2056.41
44000	2151.24
45000	2249.07
46000	2351.61
47000	2450.44
48000	2558.17
49000	2667.44
50000	2784.63
