Размер НД;Функция;Потоков;Время(мс)
100000;Заполнение (посл.);1;3.99999
100000;Сложение (посл.);1;0.126667
100000;Сумма эл-тов (посл.);1;0.259376
100000;Заполнение (парал. FOR);2;2.00001
100000;Сложение (парал. FOR);2;0.0812499
100000;Сложение (парал. Sections);2;0.0862499
100000;Сумма эл-тов (редуктор);2;0.150209
100000;Сумма эл-тов (крит. секция);2;0.905833
100000;Заполнение (парал. FOR);3;1.37917
100000;Сложение (парал. FOR);3;0.0610415
100000;Сложение (парал. Sections);3;0.09625
100000;Сумма эл-тов (редуктор);3;0.108126
100000;Сумма эл-тов (крит. секция);3;0.708958
100000;Заполнение (парал. FOR);4;1.00001
100000;Сложение (парал. FOR);4;0.051042
100000;Сложение (парал. Sections);4;0.0933333
100000;Сумма эл-тов (редуктор);4;0.0960417
100000;Сумма эл-тов (крит. секция);4;0.763126
170000;Заполнение (посл.);1;6.72082
170000;Сложение (посл.);1;0.211875
170000;Сумма эл-тов (посл.);1;0.449791
170000;Заполнение (парал. FOR);2;3.37499
170000;Сложение (парал. FOR);2;0.122292
170000;Сложение (парал. Sections);2;0.133959
170000;Сумма эл-тов (редуктор);2;0.243958
170000;Сумма эл-тов (крит. секция);2;1.54833
170000;Заполнение (парал. FOR);3;2.25835
170000;Сложение (парал. FOR);3;0.0975001
170000;Сложение (парал. Sections);3;0.140209
170000;Сумма эл-тов (редуктор);3;0.170208
170000;Сумма эл-тов (крит. секция);3;1.24292
170000;Заполнение (парал. FOR);4;1.80417
170000;Сложение (парал. FOR);4;0.0789582
170000;Сложение (парал. Sections);4;0.148125
170000;Сумма эл-тов (редуктор);4;0.145417
170000;Сумма эл-тов (крит. секция);4;1.24771
240000;Заполнение (посл.);1;9.34585
240000;Сложение (посл.);1;0.300001
240000;Сумма эл-тов (посл.);1;0.633543
240000;Заполнение (парал. FOR);2;4.83749
240000;Сложение (парал. FOR);2;0.169375
240000;Сложение (парал. Sections);2;0.179374
240000;Сумма эл-тов (редуктор);2;0.335625
240000;Сумма эл-тов (крит. секция);2;2.17167
240000;Заполнение (парал. FOR);3;3.12918
240000;Сложение (парал. FOR);3;0.129167
240000;Сложение (парал. Sections);3;0.199999
240000;Сумма эл-тов (редуктор);3;0.24125
240000;Сумма эл-тов (крит. секция);3;1.61833
240000;Заполнение (парал. FOR);4;2.52918
240000;Сложение (парал. FOR);4;0.100001
240000;Сложение (парал. Sections);4;0.199999
240000;Сумма эл-тов (редуктор);4;0.192916
240000;Сумма эл-тов (крит. секция);4;1.66229
310000;Заполнение (посл.);1;12
310000;Сложение (посл.);1;0.392916
310000;Сумма эл-тов (посл.);1;0.814167
310000;Заполнение (парал. FOR);2;6.06669
310000;Сложение (парал. FOR);2;0.206666
310000;Сложение (парал. Sections);2;0.224166
310000;Сумма эл-тов (редуктор);2;0.430625
310000;Сумма эл-тов (крит. секция);2;2.80937
310000;Заполнение (парал. FOR);3;4.05833
310000;Сложение (парал. FOR);3;0.152084
310000;Сложение (парал. Sections);3;0.249375
310000;Сумма эл-тов (редуктор);3;0.3
310000;Сумма эл-тов (крит. секция);3;2.15667
310000;Заполнение (парал. FOR);4;3.13334
310000;Сложение (парал. FOR);4;0.126459
310000;Сложение (парал. Sections);4;0.252083
310000;Сумма эл-тов (редуктор);4;0.245625
310000;Сумма эл-тов (крит. секция);4;2.17729
